,Unnamed: 0,lang,sensitive,retweet,reply,likes,quote,created,text,id,author_id
5857,5857,en,False,0,0,0,0,2021-12-04T04:46:48.000Z,I rated #Dune (2021) 10/10  #IMDb #Movies #Cinema https://t.co/3AS6ocD3RL,1466992357719502848,1046204298370080768
1930,1930,en,False,0,0,1,0,2021-12-06T00:06:48.000Z,I’m rewatching the Lynch Dune #wormfever,1467646671823814665,25588646
7206,7206,en,False,0,0,1,0,2021-12-03T15:53:53.000Z,"No movie theaters near me are playing Dune in IMAX, sadly.",1466797850008952834,831765312
4838,4838,en,False,0,0,0,0,2021-12-04T17:22:11.000Z,"Dune was basically everything I ever wanted in a sci fi movie, music was increadble and just looks amazing 10/10",1467182457996906501,1284938498802360320
6466,6466,en,False,0,0,0,0,2021-12-03T23:00:22.000Z,First Look: BOOM! Studios’ ‘Dune: A Whisper Of Caladan Seas’ #1 https://t.co/wOh4wlrKFI,1466905177487777798,3835456033
2466,2466,en,False,0,0,0,0,2021-12-05T19:00:49.000Z,The latest Film Noir Daily! https://t.co/hWNwcM6mEF Thanks to @TribDavidson @rejectnation @filmmakingstuff #dune #investors,1467569667371941891,518806991
4893,4893,en,False,1,1,3,0,2021-12-04T16:49:27.000Z,"Haven't got enough of Thron talking DUNE? Well this is your lucky day! The amazing folks at @CupFine  invited him on to do just that!!  Thanks to @PunkyfinsGo , @Thirith_ch and @Trubshawe1!!

https://t.co/vWGD7UNDpF",1467174221423935490,1052670493419950080
2547,2547,en,False,1,0,2,0,2021-12-05T18:16:27.000Z,"Finally after a long time i watched https://t.co/V7cDdjm7FD's a visual masterpiece,this film is not for everyone. Denis Villeneuve direction is another level and Hans Zimmer music i loved it. Waiting for  the second part",1467558503451557889,1444557083634921477
231,231,en,False,0,1,1,0,2021-12-06T21:57:41.000Z,dune time,1467976565598343179,1323029771958276102
3577,3577,en,False,0,1,3,0,2021-12-05T05:08:38.000Z,#DuneMovie is so good I book one more ticket. I'll watch it again today. 😋😆,1467360243701059587,1236713251800379392
3720,3720,en,False,0,0,2,0,2021-12-05T03:40:43.000Z,"Tonight I realized that the book Dune predicted VHS tapes. I have no idea what to do with that information, but I think it’s pretty interesting!",1467338116851773447,1399881903742898177
777,777,en,False,0,0,1,0,2021-12-06T16:36:16.000Z,"Eating good at the cinema this week. Seeing Totoro tonight. Watching Dune in IMAX again. Checking out Power of the Dog, and possibly seeing West Side Story and actually loving it? Finally some good food. https://t.co/zUQml33l9j",1467895677451739143,3288993098
794,794,en,False,0,0,0,0,2021-12-06T16:27:06.000Z,"I want to just binge read Dune Messiah, but I just have a feeling if I read it slowly, I can soak it up better.",1467893372555653123,42608227
5970,5970,en,False,0,1,3,0,2021-12-04T03:45:14.000Z,"Someone just used my amazon account to buy the new Dune movie and I’m not even that upset, just more baffled as to why that was the hackers first choice 🤔",1466976865080512514,337844354
2256,2256,en,False,0,0,1,0,2021-12-05T21:04:59.000Z,If there was no pandemic Dune part 2 would be released already 🙃,1467600913401409536,1424876941916602371
3692,3692,en,False,0,0,1,0,2021-12-05T04:03:01.000Z,he was banging it on the water like he's calling for a dune sandworm https://t.co/DVYAShYauT,1467343728423563268,1200928451902918656
2828,2828,en,False,0,1,1,0,2021-12-05T15:11:40.000Z,"Remembering when everyone was talking about Dune and was happy…

But hey, Spider-Verse 2 looks sick",1467512001354244108,1250922032767909898
7157,7157,en,False,0,0,0,0,2021-12-03T16:15:24.000Z,THE DUNE UNDER THE MOON https://t.co/IxdPQw7IFa via @YouTube,1466803263697825796,2235294482
7550,7550,en,False,0,0,0,0,2021-12-03T12:30:43.000Z,Dune Cinematographer Greig Fraser on Shooting With Denis Villeneuve https://t.co/mwgAX2N7bS,1466746718263955458,723031957
3356,3356,en,False,0,0,0,0,2021-12-05T07:37:42.000Z,Congratulations Walkinshaw wins Bathurst1000 well dune Chaz GO HOLDEN https://t.co/FxrZ8A65IG,1467397754460672001,1907923994
596,596,en,False,0,0,1,0,2021-12-06T18:22:53.000Z,I am not sold on Dune as a novel,1467922508942876675,2580449168
926,926,en,False,2,4,13,0,2021-12-06T14:32:38.000Z,"In SFE, film/tv coverage of individual shows is more personalized than of authors etc: because they're usually single works; &amp; because with the huge online coverage of film &amp; tv (cf IMDB), we feel freer to add comments. Here's a 1st take on  DUNE: Part One https://t.co/iHFkr5ZKnl",1467864565744607242,417214991
1989,1989,en,False,0,0,4,0,2021-12-05T23:37:18.000Z,"me looking up what the fuck is going on in dune so i can be prepared for part two 
 https://t.co/YYZV0HSsgO",1467639247486214152,1131015582382530561
