,Unnamed: 0,lang,sensitive,retweet,reply,likes,quote,created,text,id,author_id
6101,6101,en,False,0,2,2,0,2021-12-04T02:30:11.000Z,"The plan is:
Licorice Pizza on 35mm
The Tragedy of Macbeth in standard IMAX 
Dune in Laser IMAX https://t.co/iqA4UAi18n",1466957977219440643,17585901
4788,4788,en,False,0,0,0,0,2021-12-04T17:53:02.000Z,Star Wars The Vintage Collection Cara Dune Carbonized Graphite The Mandalorian https://t.co/IS8vYqJIRg https://t.co/K8M9EZ6fEP,1467190222169378823,762304479836315648
7012,7012,en,False,0,0,0,0,2021-12-03T17:36:47.000Z,"#Dune 2021 film review - NEGROMANCER 2.0: Review: 2021 ""DUNE "" is Both Tremendous and Tedious https://t.co/jEnras0zcz",1466823745352441856,311219545
1479,1479,en,False,0,1,0,0,2021-12-06T05:08:36.000Z,That's the second movie alive seen recently that put Stellan Skarsgard in a fatsuit. Weird coincidence? #Dune,1467722622108532738,17185202
1819,1819,en,False,0,1,1,0,2021-12-06T01:16:33.000Z,thought i was reading a Dune review https://t.co/n0Eez8ch53,1467664224528879620,1103449040325410816
6677,6677,en,False,0,0,2,0,2021-12-03T20:57:01.000Z,why is dune so quiet then so loud,1466874133761904643,2962064482
5955,5955,en,False,0,0,3,0,2021-12-04T03:55:48.000Z,I was just telling @Nicholosophy that we say Dune the correct way. https://t.co/dMYuMy54IL,1466979522889195527,11791522
8562,8562,en,False,0,0,0,0,2021-12-03T01:22:24.000Z,"Stream the latest movies #OnDemand with #UltraBox, #AstroGO and #HBOGO. 
Sign up for the Movies Pack now, from RM94.99 per month. 

#AstroFastPremiere #Dune #Malignant #SuicideSquad #Reminiscence",1466578533531074561,154103584
5997,5997,en,False,0,0,0,0,2021-12-04T03:33:09.000Z,dune lore be like: https://t.co/LcfwsKulhu,1466973822716887051,982547524203548673
2200,2200,en,False,0,0,2,0,2021-12-05T21:42:14.000Z,My ★★★★ review of Dune (2021) on @letterboxd: https://t.co/YlsVaTzRPh https://t.co/IfGZFGf5K2,1467610289910779909,16584664
5756,5756,en,False,0,0,1,0,2021-12-04T05:52:36.000Z,"[Taking The Test From DUNE]

ME: what's in the box?

THE REVEREND MOTHER: pain

*I look in the box... it's Cards Against Humanity*

ME: ...just to be clear, you said the needle at my throat would be an ""instant death"" is that right?",1467008918043901953,85115739
884,884,en,False,0,1,7,0,2021-12-06T15:08:02.000Z,"I swear seeing Dune damaged my ears so badly😭 it's not that the soundtrack wasn't amazing, it was, but seeing it in IMAX was far too loud for my ears to handle. I dont want to get tinnitus so I think I'm just gonna have to avoid imax in the future",1467873474987413505,1228445704110080000
421,421,en,False,0,2,15,0,2021-12-06T20:14:57.000Z,"Did I just go to see #Dune again? Well yes, I totally did ☺️ -N",1467950711086460933,965779715033325568
94,94,en,False,0,0,14,0,2021-12-06T23:04:08.000Z,Crysknife - made from a tooth of Shai-Hulud. #Dune https://t.co/mfVJOZwbyN,1467993289873784833,827904628641591300
3757,3757,en,False,0,0,0,0,2021-12-05T03:19:53.000Z,Time to watch dune,1467332874059886596,233380262
9,9,en,False,0,0,0,0,2021-12-06T23:51:08.000Z,"Well, just finished watching Dune(2021) and I have to say I was disapointed.
All these great actors and cinematic landscapes...the essence just was not there. It felt too drawn out...🙁
I'm still a fan of the 1984 version. It was cheesy, but you were let saying wow!!",1468005117462990850,3317368197
7626,7626,en,False,0,0,1,0,2021-12-03T11:44:41.000Z,Lowkey getting dune vibes 👀 and why does he look so fcking good?! 🥵🥵 https://t.co/0AE1r8lk9b,1466735134829432832,768911187446796292
6530,6530,en,False,0,0,0,0,2021-12-03T22:25:03.000Z,This DAO ‘Bought’ Alejandro Jodorowsky’s Dune Bible—But It Doesn’t Own It Yet https://t.co/iT5wuGoZL3,1466896287492681740,774678899712294912
1745,1745,en,False,1,0,10,0,2021-12-06T02:14:20.000Z,Dune https://t.co/0ieUCnT4lh,1467678765320867842,1214707158031355904
3731,3731,en,False,0,0,0,0,2021-12-05T03:34:13.000Z,Dune movie&gt; New Star Wars Trilogy,1467336478971895813,1276481085799620611
5705,5705,en,False,0,2,4,0,2021-12-04T06:23:20.000Z,Can't seem to stay off zeeeee Dune. Rise of Ix can't come soon enough. https://t.co/q70UisDfiU,1467016650985664512,44064578
14,14,en,False,0,0,0,0,2021-12-06T23:49:01.000Z,I don’t know much about Dune but I’ll tell you I’d have a horrible time watching this version because of how fucking ugly it is. https://t.co/ugNeq407wb,1468004582278189061,1035713710952722432
7812,7812,en,False,0,0,0,0,2021-12-03T09:26:20.000Z,Dune (part one) — spice up your life https://t.co/lygLqEBLNv,1466700320009068550,577329310
7840,7840,en,False,0,0,0,0,2021-12-03T08:59:39.000Z,The latest Film Noir Movies! https://t.co/Ii49G4lhhH #dune #spencer,1466693602864730115,518806991
2314,2314,en,False,0,0,0,0,2021-12-05T20:35:05.000Z,"#Scifi classic #mustread: Battlefield Earth.
If you liked #Dune, you'll love it.
""Non-stop and fast-paced.” @KJA (co-author of the Dune Sagas) https://t.co/1njKkYDtWU 
#readers #scifilover #bookworm
@BE_the_Book https://t.co/AvlyFcgsZb",1467593391622045696,2701987350
4064,4064,en,False,0,0,1,0,2021-12-05T00:22:18.000Z,Prepped to watch Dune with my son. https://t.co/l2VgLUCE7Q,1467288182848901126,84350434
5308,5308,en,False,0,1,5,0,2021-12-04T11:23:46.000Z,"Watched Dune today, great movie! I recommend givin it a cheeky watch!",1467092258956595200,1250000458489323520
7341,7341,en,False,0,0,0,0,2021-12-03T14:30:41.000Z,Friday Reads: The Art and Soul of Dune by Tanya Lapointe https://t.co/JhPGFtoEWr,1466776911103897601,831481
3906,3906,en,False,1,0,6,1,2021-12-05T02:00:01.000Z,"“Any road followed precisely to its end leads precisely nowhere. Climb the mountain just a little bit to test that it’s a mountain. From the top of the mountain, you cannot see the mountain.” ~ Bene Gesserit proverb, Dune",1467312773495459840,19261258
5266,5266,en,False,0,6,66,0,2021-12-04T11:47:21.000Z,Dune is batshit insane. I'm exhausted. It's perfect. https://t.co/mC7XwI2SrU,1467098192827215874,26992760
4107,4107,en,False,3,0,18,0,2021-12-05T00:04:40.000Z,"Os indicados a 'Melhor Montagem' no The Washington DC Area Film Critics Association são:

- Belfast
- Dune
- The French Dispatch
- The Power of the Dog
- tick, tick...BOOM! https://t.co/D5liM3OCcP",1467283745942163457,1387180389219946497
8007,8007,en,False,1,0,5,0,2021-12-03T07:04:18.000Z,ebegging the dune skins to come back i know it was like a month ago but i want paul so badly https://t.co/haFvuxorRj,1466664574887759874,1459228676982075401
8318,8318,en,False,0,0,0,0,2021-12-03T03:16:00.000Z,Had two days off this week and I'm still very ready for the weekend. Bought two tickets to see Dune in IMAX and I might go to both,1466607120686759939,33765200
7537,7537,en,False,0,0,2,0,2021-12-03T12:38:25.000Z,drake the type of dude to say “you HAVE to read the book before watch Dune 🤓,1466748656954925056,1013921514700148736
5290,5290,en,False,0,0,0,0,2021-12-04T11:35:20.000Z,Dune - Group Movie Reaction https://t.co/UNXXQILFSJ via @YouTube,1467095168167858177,1267707176241389568
1783,1783,en,False,0,0,0,1,2021-12-06T01:36:33.000Z,also i’m about to spend the next however long getting really annoying and high and mighty about reading Dune this is ur warning now @ my 16 followers,1467669256078692356,1286429973192929281
1456,1456,en,False,0,0,1,0,2021-12-06T05:25:31.000Z,Dune (2021) https://t.co/N2nlFeUVYu,1467726878286954499,144324838
5513,5513,en,False,1,1,6,0,2021-12-04T08:49:10.000Z,"No stream tonight, going out to the movies to watch ""Dune"", have a wonderful timezone everyone 💙 https://t.co/1g677pHdSI",1467053354022891520,795179249258754048
1212,1212,en,False,0,1,11,0,2021-12-06T09:57:56.000Z,"Yaaaay!!! Today I finally get to see Dune!! 

I waited so long 😂",1467795432470454275,1351556591070412800
5696,5696,en,False,0,0,0,0,2021-12-04T06:29:08.000Z,"Narbonne. ""Around 11pm, very agitated"" (Finding Languedoc). Within the town, it
is a family without history, established for generations in the village. ""It
seems that around 11 p.m., he was seized with a great restlessness and wants to
take his m... https://t.co/7pIbZgqql3",1467018113178873856,1011288240119304192
4860,4860,en,False,0,0,1,0,2021-12-04T17:06:55.000Z,This DAO ‘Bought’ Alejandro Jodorowsky’s Dune Bible—But It Doesn’t Own It Yet - Decrypt https://t.co/cHVQK1z9Mi,1467178616685428736,26784744
5234,5234,en,False,1,1,4,0,2021-12-04T12:13:38.000Z,after watching dune ‘staring zendaya’ doesn’t carry the weight you think it does https://t.co/RbS7WVQz7P,1467104807458648068,3183532624
8274,8274,en,False,0,0,0,0,2021-12-03T03:46:40.000Z,Dune on the list https://t.co/8eNzK9042B https://t.co/dvRuiJYagG,1466614837576974339,1025779974807191552
2253,2253,en,False,0,0,2,0,2021-12-05T21:06:05.000Z,"; been reading children of dune all night. boy, i miss paul.",1467601190368206865,1080769326746165248
4067,4067,en,False,0,0,1,0,2021-12-05T00:20:51.000Z,"little timmy
#TimotheeChalamet #timmy #cmbyn #dune #ladybird #littlewomen https://t.co/LWrdWGnNoZ",1467287818452017158,1466871459012300811
6524,6524,en,False,0,0,2,0,2021-12-03T22:28:51.000Z,This is how #cats bend the space-time continuum.  #DuneMovie #Dune https://t.co/tfOpOYwYDX,1466897243554861069,16378751
2887,2887,en,False,0,0,0,0,2021-12-05T14:30:10.000Z,Dune Best Line https://t.co/ikxZxaFJw4 via @YouTube @CallidusDominus,1467501557650448392,1248950922
6710,6710,en,False,0,0,2,0,2021-12-03T20:38:29.000Z,Why did I go all the way to Hollywood to see Dune in IMax when the animated Diary of a Wimpy Kid movie is on Disney+? Gotta get my priorities straight.,1466869469083418627,719329815141060610
619,619,en,False,2,0,2,0,2021-12-06T18:07:29.000Z,"OUR LATEST EPISODE IS LIVE✨ : Space Capitalism 2: Electric Boogaloo - S3EP2 
#Dune #DunePartTwo #scifibooks #SpiderManNoWayHome #blerd #podcast #TimotheeChalamet #Zendaya #WISM 
https://t.co/8Jb4pUFaHs",1467918632126713864,1288907609832071170
2652,2652,en,False,0,0,0,0,2021-12-05T17:06:30.000Z,I GOT MY DUNE NOVELS,1467540897676070915,1020413158287167488
1611,1611,en,False,0,0,0,0,2021-12-06T03:39:44.000Z,Dune still is the movie of the year.,1467700257727393792,1303728673569345536
6080,6080,en,False,0,0,0,0,2021-12-04T02:44:49.000Z,"$LUNA is the real life equivalent of Spice from Dune. Potentially the most valuable asset in the universe. Pure rocket fuel. 🌟

#RecvProfit",1466961662918144001,1206358258820235265
2565,2565,en,False,4,1,1,0,2021-12-05T18:02:48.000Z,Random weird #music thought - #JungJaeil should have composed the #soundtrack for @dunemovie. #movies #composer #soundtracks #Dune #DuneMovie,1467555065791721474,1155222146265825280
5567,5567,en,False,0,0,1,0,2021-12-04T08:09:13.000Z,Lynch's #Dune is on free-to-air tonight. This is gonna be fun.,1467043300536246274,26971593
